user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment,pan_valid,aadhaar_valid,monthly_income_invalid_flag,monthly_income_parse_failure_flag,date_of_birth_parse_failure_flag,signup_timestamp_parse_failure_flag,kyc_status_unmapped_flag,risk_segment_unmapped_flag,age_years,age_invalid_flag,is_kyc_rejected,is_kyc_pending,is_high_kyc_risk,is_high_income_profile
USR16112,Dhriti Deshmukh,SEJAA8194O,715658320763,,BOMBAY,MAHARASHTRA,35119.0,RETIRED,2025-12-02 02:18:16,VERIFIED,LOW,True,True,False,False,True,False,False,False,,False,False,False,False,False
USR17216,Megha Jani,QT0ZZ5561X,023412025028,,LUCKNOW,UTTAR_PRADESH,80907.0,FREELANCER,2024-01-31 00:00:00,VERIFIED,MEDIUM,False,True,False,False,False,False,False,False,,False,False,False,False,True
USR45454,PANINI LAL,QCNTL9489O,278162999816,,KOLKATA,WEST_BENGAL,11214.0,FARMER,2026-01-30 23:57:18,PENDING,HIGH,True,True,False,False,False,False,False,False,,False,False,True,True,False
USR46189,Jack Parikh,RRVUI4059Q,066780327731,,AMRITSAR,PUNJAB,27.3,STUDENT,,VERIFIED,LOW,True,True,False,False,False,True,False,False,,False,False,False,False,False
USR85256,Eta Ravi,YGVOI9236W,176258817110,1969-02-19 08:25:23,DELHI,DELHI,24705.0,SALARIED,2026-02-03 00:00:00,VERIFIED,LOW,True,True,False,False,False,False,False,False,57,False,False,False,False,False
USR20918,Vanya Chad,JDGOH0074Y,894463789078,1961-04-20 00:00:00,BLR,KARNATAKA,14124.0,SELF_EMPLOYED,2024-04-25 00:00:00,REJECTED,MEDIUM,True,True,False,False,False,False,False,False,65,False,True,False,False,False
USR22494,NIRJA SHETTY,JWZVO4240H,5277136337802,1990-09-05 00:00:00,CHENNAI,TAMIL_NADU,16160.0,RETIRED,,REJECTED,MEDIUM,True,False,False,False,False,False,False,False,36,False,True,False,False,False
USR34742,Ati Dash,OOQCG9609N,985048780290,1962-12-20 00:00:00,JAIPUR,RAJASTHAN,43738.0,UNEMPLOYED,2025-07-25 00:00:00,VERIFIED,HIGH,True,True,False,False,False,False,False,False,63,False,False,False,True,False
USR83137,ria kale,,4902616251043,2005-09-09 00:00:00,JAIPUR,RAJASTHAN,25151.0,FREELANCER,,PENDING,LOW,False,False,False,False,False,True,False,False,21,False,False,True,False,False
USR99161,jalsa malhotra,QLSKS5105S,944300371193,1963-05-20 05:27:00,JALANDHAR,PUNJAB,,RETIRED,,REJECTED,LOW,True,True,True,False,False,False,False,False,63,False,True,False,False,
USR16625,anika vora,CACWZ2722S,017979940718,,LUCKNOW,UTTAR_PRADESH,28634.0,UNEMPLOYED,2026-03-08 00:00:00,VERIFIED,MEDIUM,True,True,False,False,False,False,False,False,,False,False,False,False,False
USR65060,Anirudh Bhatnagar,AIWTB3506U,2501336722102,2003-06-16 00:00:00,JPR,RAJASTHAN,30875.0,STUDENT,2024-05-24 07:29:05,VERIFIED,LOW,True,False,False,False,False,False,False,False,23,False,False,False,False,False
USR13678,Reva Jaggi,KWLPY9915,577479489696,1982-05-27 00:00:00,JAIPUR,RAJASTHAN,24.2,GIG_WORKER,2024-02-16 00:00:00,PENDING,LOW,False,True,False,False,False,False,False,False,44,False,False,True,False,False
USR78719,IndiraChaudhary,VGLXS2856D,624494538280,1977-04-17 07:18:29,LUDHIANA,PUNJAB,20231.0,STUDENT,2024-01-30 00:00:00,VERIFIED,LOW,True,True,False,False,False,False,False,False,49,False,False,False,False,False
USR83333,Gautam Bajwa,HLNXD7947Q,846950176261,1969-08-24 03:28:00,HYDERABAD,TELANGANA,24890.0,FREELANCER,2025-07-10 08:23:10,REJECTED,LOW,True,True,False,False,False,False,False,False,57,False,True,False,False,False
USR53554,Hemani Behl,SIBUO4381D,448832778808,1968-09-20 20:31:53,DILLI,DELHI,26617.0,BUSINESS_OWNER,2024-01-03 00:50:12,VERIFIED,LOW,True,True,False,False,False,False,False,False,57,False,False,False,False,False
USR77711,Warinder Solanki,MFDIC1823G,5406,1987-07-15 00:00:00,PUNE,MAHARASHTRA,,GIG_WORKER,2025-04-06 14:45:00,PENDING,HIGH,True,False,True,False,False,False,False,False,39,False,False,True,True,
USR69726,Rudra Lal,CXBKD3190N,976073035125,,CALCUTTA,WEST_BENGAL,17.7,STUDENT,2024-12-30 00:00:00,VERIFIED,LOW,True,True,False,False,True,False,False,False,,False,False,False,False,False
USR53544,DANIEL GOKHALE,UFLEH5366C,,1998-07-16 00:00:00,LUCKNOW,UTTAR_PRADESH,32124.0,SELF_EMPLOYED,2025-10-12 00:00:00,VERIFIED,HIGH,True,False,False,False,False,False,False,False,28,False,False,False,True,False
USR57699,Advik Om,MXMQW7893W,1365,1999-04-26 00:00:00,LUCKNOW,UTTAR_PRADESH,19875.0,FREELANCER,,VERIFIED,LOW,True,False,False,False,False,True,False,False,27,False,False,False,False,False
USR53382,Mekhala Golla,BOBCZ3795L,652660807695,,HYD,TELANGANA,13098.0,RETIRED,2026-01-12 00:00:00,VERIFIED,LOW,True,True,False,False,True,False,False,False,,False,False,False,False,False
USR26959,Ganga Pai,JXFNR4730M,149449272703,1966-07-04 00:00:00,ASR,PUNJAB,19624.0,RETIRED,2026-02-12 00:00:00,VERIFIED,UNKNOWN,True,True,False,False,False,False,False,False,60,False,False,False,False,False
USR13068,Megha Chandra,AVJUN6708Q,282909798427,,KOLKATA,WEST_BENGAL,25378.0,SELF_EMPLOYED,2024-02-18 00:00:00,VERIFIED,LOW,True,True,False,False,True,False,False,False,,False,False,False,False,False
USR32767,Sanya Dalal,HBFFH5169P,584280034012,1964-01-18 00:00:00,NEW_DELHI,DELHI,17051.0,GIG_WORKER,,VERIFIED,HIGH,True,True,False,False,False,True,False,False,62,False,False,False,True,False
USR86400,Qadim Nayak,AQHFS2686A,945287372343,,HYD,TELANGANA,19485.0,RETIRED,2026-02-06 04:09:04,VERIFIED,LOW,True,True,False,False,True,False,False,False,,False,False,False,False,False
