merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size,mcc_valid,settlement_account_valid,declared_avg_ticket_size_invalid_flag,declared_avg_ticket_size_parse_failure_flag,onboarding_date_parse_failure_flag,merchant_status_unmapped_flag
MCH2849,"BHAVSAR, KOTA AND ZACHARIA",7011,HOTEL_LODGING,PRIVATE_LIMITED,LUDHIANA,PUNJAB,2025-09-23 00:00:00,,INACTIVE,2432.18,True,False,False,False,False,False
MCH4314,Deshmukh Ltd,5699,APPAREL,PRIVATE_LIMITED,JALANDHAR,PUNJAB,,3021439858,INACTIVE,986.05,True,True,False,False,False,False
MCH1986,"Bains, Chanda and Gh0sh",5311,RETAIL,INDIVIDUAL,JALANDHAR,PUNJAB,,,ACTIVE,1427.52,True,False,False,False,True,False
MCH3899,Goswami-Bath,4131,TRANSPORTATION,SOLE_PROPRIETOR,HYDERABAD,TELANGANA,2023-01-14 00:00:00,,ACTIVE,,True,False,True,False,False,False
MCH4859,VASA-RAJU,5812,RESTAURANT,SOLE_PROPRIETOR,HYD,TELANGANA,2025-03-17 02:59:45,XXXX9523,ACTIVE,214.0,True,False,False,False,False,False
MCH6848,Dora LLC,5311,DEPARTMENT_STORE,PARTNERSHIP,CHENNAI,TAMIL_NADU,2025-09-20 22:23:18,DUSD7272281625368,ACTIVE,1272.49,True,True,False,False,False,False
MCH9933,Bali-Zachariah,5411,GROCERY_STORES,SOLE_PROPRIETOR,JPR,RAJASTHAN,,TWPF4694358713410,ACTIVE,1549.0,True,True,False,False,True,False
MCH2637,Joshi Group,5999,MISC_RETAIL,PARTNERSHIP,CHENNAI,TAMIL_NADU,2025-02-20 00:00:00,,ACTIVE,,True,False,True,False,False,False
MCH8708,"Mukherjee, Sami and Purohit",5999,RETAIL_OTHER,SOLE_PROPRIETOR,HYDERABAD,TELANGANA,2026-01-28 00:00:00,,SUSPENDED,2919.92,True,False,False,False,False,False
MCH2430,Bora Group,4814,TELECOM,INDIVIDUAL,AMRITSAR,PUNJAB,2026-01-27 15:52:53,2955352677,ACTIVE,827.43,True,True,False,False,False,False
MCH8556,"Rout, Dhillon and Sinha",5942,BOOK_STORE,SOLE_PROPRIETOR,JAIPUR,RAJASTHAN,,,ACTIVE,,True,False,False,False,True,False
MCH9997,"Kalita, Dass and Balay",5999,MISC_RETAIL,INDIVIDUAL,LUDHIANA,PUNJAB,,XXXX2557,ACTIVE,2233.91,True,False,False,False,True,False
MCH7003,"Koshy, Samra and Chana",5942,BOOKS_STATIONERY,PRIVATE_LIMITED,JALANDHAR,PUNJAB,2024-06-29 00:00:00,XXXX7569,SUSPENDED,776.99,True,False,False,False,False,False
MCH6945,Barad LLC,5311,RETAIL,PARTNERSHIP,LUDHIANA,PUNJAB,2025-09-13 06:55:00,,ACTIVE,3350.77,True,False,False,False,False,False
MCH4323,"Ben, Wagle and Shan",5812,EATING_PLACE,SOLE_PROPRIETOR,MADRAS,TAMIL_NADU,2023-05-11 05:53:16,4367668757,SUSPENDED,,True,True,False,False,False,False
MCH1405,Sawhney-Naru1a,5912,MEDICAL_STORE,SOLE_PROPRIETOR,LUCKNOW,UTTAR_PRADESH,2024-12-31 00:00:00,,SUSPENDED,3091.86,True,False,False,False,False,False
MCH9459,Bala and Sons,5411,GROCERY,PARTNERSHIP,MADRAS,TAMIL_NADU,2023-11-12 00:00:00,,ACTIVE,558.21,True,False,False,False,False,False
MCH7645,Majumdar-Nagarajan,5912,MEDICAL_STORE,SOLE_PROPRIETOR,AMRITSAR,PUNJAB,2024-09-21 00:00:00,7530870851,ACTIVE,1396.81,True,True,False,False,False,False
MCH9620,chad plc,,RETAIL,INDIVIDUAL,LUDHIANA,PUNJAB,2025-04-16 00:00:00,HEOY8360949899311,ACTIVE,786.55,False,True,False,False,False,False
MCH9815,"NARASIMHAN, VASA AND GOSWAMI",5942,BOOK_STORE,INDIVIDUAL,DELHI,DELHI,,MZNM1643262942719,ACTIVE,,True,True,True,False,True,False
MCH5251,"Rana, Chandra and Tank",4131,TRANSPORTATION,PARTNERSHIP,MUMBAI,MAHARASHTRA,,,INACTIVE,3641.26,True,False,False,False,False,False
MCH2934,Warri0r-Siba1,5999,OTHER,INDIVIDUAL,AMRITSAR,PUNJAB,2025-04-07 00:00:00,,ACTIVE,,True,False,False,False,False,False
MCH3140,"Zachariah,RajagopalandSamra",4814,TELECOM,PRIVATE_LIMITED,AMRITSAR,PUNJAB,2023-09-04 17:37:45,,ACTIVE,363.21,True,False,False,False,False,False
MCH2833,Kapoor-Shankar,7011,HOTEL_LODGING,SOLE_PROPRIETOR,JALANDAR,PUNJAB,,VEQH1532066637768,ACTIVE,474.69,True,True,False,False,False,False
MCH2849,"BHAVSAR, KOTA AND ZACHARIA",7011,HOTEL_LODGING,PRIVATE_LIMITED,LUDHIANA,PUNJAB,2025-09-23 00:00:00,,ACTIVE,2432.18,True,False,False,False,False,False
MCH6397,"SURI, AGRAWAL AND NATARAJAN",5942,BOOKS,PARTNERSHIP,DELHI,DELHI,2024-08-19 00:00:00,,ACTIVE,547.0,True,False,False,False,False,False
